n,idx,distribution,travel,serv,obj,iters,time,alg,cost_profile,scaling
15,1,0,0,1,2090.15,810.0,227.348,lns,"(1, 2.5, 10)",0.1
15,10,0,0,0,1122.184,573.0,229.472,lns,"(1, 2.5, 10)",0.1
15,10,0,0,1,1926.512,728.0,228.837,lns,"(1, 2.5, 10)",0.1
15,11,0,0,0,1146.126,622.0,228.252,lns,"(1, 2.5, 10)",0.1
15,11,0,0,1,1935.794,783.0,227.976,lns,"(1, 2.5, 10)",0.1
15,12,0,0,0,1101.534,547.0,230.713,lns,"(1, 2.5, 10)",0.1
15,12,0,0,1,1878.279,683.0,229.913,lns,"(1, 2.5, 10)",0.1
15,13,0,0,0,1187.547,633.0,228.006,lns,"(1, 2.5, 10)",0.1
15,13,0,0,1,2030.731,818.0,227.531,lns,"(1, 2.5, 10)",0.1
15,14,0,0,0,1170.333,619.0,228.335,lns,"(1, 2.5, 10)",0.1
15,14,0,0,1,2051.363,774.0,228.385,lns,"(1, 2.5, 10)",0.1
15,15,0,0,0,1122.753,535.0,231.371,lns,"(1, 2.5, 10)",0.1
15,15,0,0,1,1942.655,760.0,228.098,lns,"(1, 2.5, 10)",0.1
15,16,0,0,0,1161.931,627.0,229.068,lns,"(1, 2.5, 10)",0.1
15,16,0,0,1,1995.619,759.0,228.778,lns,"(1, 2.5, 10)",0.1
15,17,0,0,0,1046.145,524.0,230.359,lns,"(1, 2.5, 10)",0.1
15,17,0,0,1,1811.277,786.0,227.212,lns,"(1, 2.5, 10)",0.1
15,18,0,0,0,1303.445,620.0,229.234,lns,"(1, 2.5, 10)",0.1
15,18,0,0,1,2279.303,728.0,229.216,lns,"(1, 2.5, 10)",0.1
15,19,0,0,0,1227.695,613.0,227.892,lns,"(1, 2.5, 10)",0.1
15,19,0,0,1,2037.958,823.0,227.299,lns,"(1, 2.5, 10)",0.1
15,2,0,0,0,1000.097,571.0,228.829,lns,"(1, 2.5, 10)",0.1
15,2,0,0,1,1673.664,767.0,228.097,lns,"(1, 2.5, 10)",0.1
15,3,0,0,0,992.2,597.0,228.73,lns,"(1, 2.5, 10)",0.1
15,3,0,0,1,1753.032,765.0,228.054,lns,"(1, 2.5, 10)",0.1
15,4,0,0,0,1379.394,611.0,228.952,lns,"(1, 2.5, 10)",0.1
15,4,0,0,1,2452.26,733.0,228.167,lns,"(1, 2.5, 10)",0.1
15,5,0,0,0,1148.405,450.0,237.907,lns,"(1, 2.5, 10)",0.1
15,5,0,0,1,1960.987,623.0,232.782,lns,"(1, 2.5, 10)",0.1
15,6,0,0,0,1181.014,545.0,228.861,lns,"(1, 2.5, 10)",0.1
15,6,0,0,1,2060.636,750.0,228.054,lns,"(1, 2.5, 10)",0.1
15,7,0,0,0,1242.106,613.0,229.109,lns,"(1, 2.5, 10)",0.1
15,7,0,0,1,2172.196,778.0,228.011,lns,"(1, 2.5, 10)",0.1
15,8,0,0,0,1058.671,513.0,229.363,lns,"(1, 2.5, 10)",0.1
15,8,0,0,1,1808.545,723.0,228.069,lns,"(1, 2.5, 10)",0.1
15,9,0,0,0,1362.8,620.0,227.46,lns,"(1, 2.5, 10)",0.1
15,9,0,0,1,2347.181,776.0,227.388,lns,"(1, 2.5, 10)",0.1
15,0,0,0,0,1309.369,10000.0,15.905,dotsp,"(1, 2.5, 10)",0.5
15,0,0,0,1,2258.729,10000.0,14.992,dotsp,"(1, 2.5, 10)",0.5
15,1,0,0,0,1252.611,10000.0,16.61,dotsp,"(1, 2.5, 10)",0.5
15,1,0,0,1,2198.261,10000.0,15.116,dotsp,"(1, 2.5, 10)",0.5
15,10,0,0,0,1281.973,10000.0,11.24,dotsp,"(1, 2.5, 10)",0.5
15,10,0,0,1,2284.98,10000.0,11.135,dotsp,"(1, 2.5, 10)",0.5
15,11,0,0,0,1292.15,10000.0,10.399,dotsp,"(1, 2.5, 10)",0.5
15,11,0,0,1,2278.233,10000.0,10.009,dotsp,"(1, 2.5, 10)",0.5
15,12,0,0,0,1276.76,10000.0,17.171,dotsp,"(1, 2.5, 10)",0.5
15,12,0,0,1,2178.364,10000.0,16.978,dotsp,"(1, 2.5, 10)",0.5
15,13,0,0,0,1317.099,10000.0,10.14,dotsp,"(1, 2.5, 10)",0.5
15,13,0,0,1,2269.254,10000.0,9.688,dotsp,"(1, 2.5, 10)",0.5
15,14,0,0,0,1349.708,10000.0,11.728,dotsp,"(1, 2.5, 10)",0.5
15,14,0,0,1,2387.352,10000.0,11.515,dotsp,"(1, 2.5, 10)",0.5
15,15,0,0,0,1308.226,10000.0,15.993,dotsp,"(1, 2.5, 10)",0.5
15,15,0,0,1,2279.398,10000.0,14.943,dotsp,"(1, 2.5, 10)",0.5
15,16,0,0,0,1286.868,10000.0,11.037,dotsp,"(1, 2.5, 10)",0.5
15,16,0,0,1,2230.3,10000.0,11.001,dotsp,"(1, 2.5, 10)",0.5
15,17,0,0,0,1189.473,10000.0,18.192,dotsp,"(1, 2.5, 10)",0.5
15,17,0,0,1,2047.485,10000.0,17.029,dotsp,"(1, 2.5, 10)",0.5
15,18,0,0,0,1402.393,10000.0,9.499,dotsp,"(1, 2.5, 10)",0.5
15,18,0,0,1,2458.566,10000.0,9.42,dotsp,"(1, 2.5, 10)",0.5
15,19,0,0,0,1402.419,10000.0,12.284,dotsp,"(1, 2.5, 10)",0.5
15,19,0,0,1,2396.514,10000.0,12.058,dotsp,"(1, 2.5, 10)",0.5
15,2,0,0,0,1178.303,10000.0,10.78,dotsp,"(1, 2.5, 10)",0.5
15,2,0,0,1,2046.551,10000.0,9.798,dotsp,"(1, 2.5, 10)",0.5
15,3,0,0,0,1151.274,10000.0,12.622,dotsp,"(1, 2.5, 10)",0.5
15,3,0,0,1,2012.093,10000.0,11.868,dotsp,"(1, 2.5, 10)",0.5
15,4,0,0,0,1511.439,10000.0,11.134,dotsp,"(1, 2.5, 10)",0.5
15,4,0,0,1,2656.892,10000.0,10.718,dotsp,"(1, 2.5, 10)",0.5
15,5,0,0,0,1328.966,10000.0,15.597,dotsp,"(1, 2.5, 10)",0.5
15,5,0,0,1,2313.434,10000.0,15.165,dotsp,"(1, 2.5, 10)",0.5
15,6,0,0,0,1335.887,10000.0,13.094,dotsp,"(1, 2.5, 10)",0.5
15,6,0,0,1,2289.602,10000.0,12.105,dotsp,"(1, 2.5, 10)",0.5
15,7,0,0,0,1394.739,10000.0,14.305,dotsp,"(1, 2.5, 10)",0.5
15,7,0,0,1,2427.383,10000.0,14.048,dotsp,"(1, 2.5, 10)",0.5
15,8,0,0,0,1174.515,10000.0,14.232,dotsp,"(1, 2.5, 10)",0.5
15,8,0,0,1,1994.776,10000.0,12.895,dotsp,"(1, 2.5, 10)",0.5
15,9,0,0,0,1453.244,10000.0,12.242,dotsp,"(1, 2.5, 10)",0.5
15,9,0,0,1,2535.329,10000.0,11.476,dotsp,"(1, 2.5, 10)",0.5
15,0,0,0,0,1355.346,10000.0,14.227,dotsp,"(1, 2.5, 10)",0.7
15,0,0,0,1,2272.486,10000.0,13.643,dotsp,"(1, 2.5, 10)",0.7
15,1,0,0,0,1316.663,10000.0,13.8,dotsp,"(1, 2.5, 10)",0.7
15,1,0,0,1,2221.981,10000.0,12.58,dotsp,"(1, 2.5, 10)",0.7
15,10,0,0,0,1324.559,10000.0,11.621,dotsp,"(1, 2.5, 10)",0.7
15,10,0,0,1,2286.941,10000.0,11.391,dotsp,"(1, 2.5, 10)",0.7
15,11,0,0,0,1348.361,10000.0,9.754,dotsp,"(1, 2.5, 10)",0.7
15,11,0,0,1,2304.223,10000.0,9.355,dotsp,"(1, 2.5, 10)",0.7
15,12,0,0,0,1335.959,10000.0,15.95,dotsp,"(1, 2.5, 10)",0.7
15,12,0,0,1,2221.802,10000.0,15.864,dotsp,"(1, 2.5, 10)",0.7
15,13,0,0,0,1368.719,10000.0,9.601,dotsp,"(1, 2.5, 10)",0.7
15,13,0,0,1,2321.706,10000.0,9.232,dotsp,"(1, 2.5, 10)",0.7
15,14,0,0,0,1414.33,10000.0,10.548,dotsp,"(1, 2.5, 10)",0.7
15,14,0,0,1,2431.931,10000.0,9.888,dotsp,"(1, 2.5, 10)",0.7
15,15,0,0,0,1390.588,10000.0,16.811,dotsp,"(1, 2.5, 10)",0.7
15,15,0,0,1,2325.989,10000.0,16.035,dotsp,"(1, 2.5, 10)",0.7
15,16,0,0,0,1317.114,10000.0,11.429,dotsp,"(1, 2.5, 10)",0.7
15,16,0,0,1,2243.818,10000.0,11.094,dotsp,"(1, 2.5, 10)",0.7
15,17,0,0,0,1225.704,10000.0,16.417,dotsp,"(1, 2.5, 10)",0.7
15,17,0,0,1,2081.812,10000.0,14.793,dotsp,"(1, 2.5, 10)",0.7
15,18,0,0,0,1442.779,10000.0,9.721,dotsp,"(1, 2.5, 10)",0.7
15,18,0,0,1,2489.031,10000.0,9.241,dotsp,"(1, 2.5, 10)",0.7
15,19,0,0,0,1450.268,10000.0,10.488,dotsp,"(1, 2.5, 10)",0.7
15,19,0,0,1,2435.684,10000.0,9.778,dotsp,"(1, 2.5, 10)",0.7
15,2,0,0,0,1209.076,10000.0,12.247,dotsp,"(1, 2.5, 10)",0.7
15,2,0,0,1,2091.141,10000.0,10.997,dotsp,"(1, 2.5, 10)",0.7
15,3,0,0,0,1210.844,10000.0,12.661,dotsp,"(1, 2.5, 10)",0.7
15,3,0,0,1,2030.68,10000.0,12.522,dotsp,"(1, 2.5, 10)",0.7
15,4,0,0,0,1557.89,10000.0,9.391,dotsp,"(1, 2.5, 10)",0.7
15,4,0,0,1,2674.399,10000.0,8.867,dotsp,"(1, 2.5, 10)",0.7
15,5,0,0,0,1365.229,10000.0,16.53,dotsp,"(1, 2.5, 10)",0.7
15,5,0,0,1,2319.357,10000.0,14.791,dotsp,"(1, 2.5, 10)",0.7
15,6,0,0,0,1396.28,10000.0,13.295,dotsp,"(1, 2.5, 10)",0.7
15,6,0,0,1,2338.598,10000.0,12.409,dotsp,"(1, 2.5, 10)",0.7
15,7,0,0,0,1456.0,10000.0,13.522,dotsp,"(1, 2.5, 10)",0.7
15,7,0,0,1,2467.076,10000.0,13.312,dotsp,"(1, 2.5, 10)",0.7
15,8,0,0,0,1213.735,10000.0,12.381,dotsp,"(1, 2.5, 10)",0.7
15,8,0,0,1,2049.066,10000.0,11.811,dotsp,"(1, 2.5, 10)",0.7
15,9,0,0,0,1487.25,10000.0,12.817,dotsp,"(1, 2.5, 10)",0.7
15,9,0,0,1,2558.545,10000.0,11.553,dotsp,"(1, 2.5, 10)",0.7
15,0,0,0,0,1189.97,628.0,227.366,lns,"(1, 2.5, 10)",0.3
15,0,0,0,1,1968.586,837.0,227.114,lns,"(1, 2.5, 10)",0.3
15,1,0,0,0,1224.196,551.0,228.37,lns,"(1, 2.5, 10)",0.3
15,1,0,0,1,2067.421,836.0,227.302,lns,"(1, 2.5, 10)",0.3
15,10,0,0,0,1185.5,575.0,228.173,lns,"(1, 2.5, 10)",0.3
15,10,0,0,1,2016.518,812.0,227.56,lns,"(1, 2.5, 10)",0.3
15,11,0,0,0,1223.091,588.0,227.916,lns,"(1, 2.5, 10)",0.3
15,11,0,0,1,1993.696,797.0,227.143,lns,"(1, 2.5, 10)",0.3
15,12,0,0,0,1157.926,576.0,229.477,lns,"(1, 2.5, 10)",0.3
15,12,0,0,1,1928.589,697.0,228.584,lns,"(1, 2.5, 10)",0.3
15,13,0,0,0,1243.425,630.0,227.254,lns,"(1, 2.5, 10)",0.3
15,13,0,0,1,2072.439,906.0,226.687,lns,"(1, 2.5, 10)",0.3
15,14,0,0,0,1233.33,609.0,227.405,lns,"(1, 2.5, 10)",0.3
15,14,0,0,1,2073.174,878.0,227.185,lns,"(1, 2.5, 10)",0.3
15,15,0,0,0,1184.902,536.0,228.994,lns,"(1, 2.5, 10)",0.3
15,15,0,0,1,2010.193,766.0,227.969,lns,"(1, 2.5, 10)",0.3
15,16,0,0,0,1235.965,679.0,227.69,lns,"(1, 2.5, 10)",0.3
15,16,0,0,1,2034.079,873.0,227.144,lns,"(1, 2.5, 10)",0.3
15,17,0,0,0,1112.172,536.0,229.336,lns,"(1, 2.5, 10)",0.3
15,17,0,0,1,1862.692,766.0,228.727,lns,"(1, 2.5, 10)",0.3
15,18,0,0,0,1353.703,643.0,227.468,lns,"(1, 2.5, 10)",0.3
15,18,0,0,1,2251.94,824.0,227.764,lns,"(1, 2.5, 10)",0.3
15,19,0,0,0,1264.912,577.0,227.144,lns,"(1, 2.5, 10)",0.3
15,19,0,0,1,2119.99,878.0,226.838,lns,"(1, 2.5, 10)",0.3
15,2,0,0,0,1064.246,536.0,227.93,lns,"(1, 2.5, 10)",0.3
15,2,0,0,1,1780.43,887.0,226.832,lns,"(1, 2.5, 10)",0.3
15,3,0,0,0,1048.168,558.0,226.961,lns,"(1, 2.5, 10)",0.3
15,3,0,0,1,1778.171,852.0,227.259,lns,"(1, 2.5, 10)",0.3
15,4,0,0,0,1438.79,627.0,227.438,lns,"(1, 2.5, 10)",0.3
15,4,0,0,1,2388.05,828.0,227.297,lns,"(1, 2.5, 10)",0.3
15,5,0,0,0,1217.349,459.0,233.098,lns,"(1, 2.5, 10)",0.3
15,5,0,0,1,1997.905,658.0,230.87,lns,"(1, 2.5, 10)",0.3
15,6,0,0,0,1261.37,563.0,227.5,lns,"(1, 2.5, 10)",0.3
15,6,0,0,1,2119.933,835.0,226.982,lns,"(1, 2.5, 10)",0.3
15,7,0,0,0,1294.364,557.0,228.006,lns,"(1, 2.5, 10)",0.3
15,7,0,0,1,2174.04,826.0,227.91,lns,"(1, 2.5, 10)",0.3
15,8,0,0,0,1110.126,529.0,230.073,lns,"(1, 2.5, 10)",0.3
15,8,0,0,1,1876.391,722.0,229.443,lns,"(1, 2.5, 10)",0.3
15,9,0,0,0,1418.291,630.0,226.8,lns,"(1, 2.5, 10)",0.3
15,9,0,0,1,2390.484,876.0,226.635,lns,"(1, 2.5, 10)",0.3
15,0,0,0,0,1155.085,627.0,227.584,lns,"(1, 2.5, 10)",0.2
15,0,0,0,1,1918.562,828.0,227.151,lns,"(1, 2.5, 10)",0.2
15,1,0,0,0,1191.123,595.0,228.018,lns,"(1, 2.5, 10)",0.2
15,1,0,0,1,2041.416,808.0,227.931,lns,"(1, 2.5, 10)",0.2
15,10,0,0,0,1156.119,578.0,228.411,lns,"(1, 2.5, 10)",0.2
15,10,0,0,1,1959.963,778.0,227.874,lns,"(1, 2.5, 10)",0.2
15,11,0,0,0,1186.359,611.0,227.751,lns,"(1, 2.5, 10)",0.2
15,11,0,0,1,1959.875,877.0,227.122,lns,"(1, 2.5, 10)",0.2
15,12,0,0,0,1123.449,569.0,230.373,lns,"(1, 2.5, 10)",0.2
15,12,0,0,1,1889.805,732.0,228.826,lns,"(1, 2.5, 10)",0.2
15,13,0,0,0,1216.318,660.0,227.363,lns,"(1, 2.5, 10)",0.2
15,13,0,0,1,2055.522,886.0,226.818,lns,"(1, 2.5, 10)",0.2
15,14,0,0,0,1205.977,650.0,227.584,lns,"(1, 2.5, 10)",0.2
15,14,0,0,1,2016.657,853.0,227.553,lns,"(1, 2.5, 10)",0.2
15,15,0,0,0,1167.779,451.0,229.634,lns,"(1, 2.5, 10)",0.2
15,15,0,0,1,1971.483,747.0,228.75,lns,"(1, 2.5, 10)",0.2
15,16,0,0,0,1206.772,672.0,227.536,lns,"(1, 2.5, 10)",0.2
15,16,0,0,1,2015.731,842.0,227.723,lns,"(1, 2.5, 10)",0.2
15,17,0,0,0,1086.8,540.0,229.885,lns,"(1, 2.5, 10)",0.2
15,17,0,0,1,1829.281,743.0,229.211,lns,"(1, 2.5, 10)",0.2
15,18,0,0,0,1323.39,652.0,227.848,lns,"(1, 2.5, 10)",0.2
15,18,0,0,1,2247.076,785.0,227.878,lns,"(1, 2.5, 10)",0.2
15,19,0,0,0,1231.639,639.0,227.642,lns,"(1, 2.5, 10)",0.2
15,19,0,0,1,2036.776,847.0,226.806,lns,"(1, 2.5, 10)",0.2
15,2,0,0,0,1029.394,560.0,229.079,lns,"(1, 2.5, 10)",0.2
15,2,0,0,1,1711.749,826.0,227.183,lns,"(1, 2.5, 10)",0.2
15,3,0,0,0,1030.305,634.0,227.715,lns,"(1, 2.5, 10)",0.2
15,3,0,0,1,1749.624,832.0,227.25,lns,"(1, 2.5, 10)",0.2
15,4,0,0,0,1392.092,543.0,227.705,lns,"(1, 2.5, 10)",0.2
15,4,0,0,1,2413.723,800.0,227.312,lns,"(1, 2.5, 10)",0.2
15,5,0,0,0,1191.593,462.0,228.714,lns,"(1, 2.5, 10)",0.2
15,5,0,0,1,1979.052,585.0,229.907,lns,"(1, 2.5, 10)",0.2
15,6,0,0,0,1218.933,580.0,227.48,lns,"(1, 2.5, 10)",0.2
15,6,0,0,1,2082.083,807.0,227.368,lns,"(1, 2.5, 10)",0.2
15,7,0,0,0,1279.544,595.0,228.908,lns,"(1, 2.5, 10)",0.2
15,7,0,0,1,2187.709,847.0,227.112,lns,"(1, 2.5, 10)",0.2
15,8,0,0,0,1088.913,453.0,230.765,lns,"(1, 2.5, 10)",0.2
15,8,0,0,1,1805.207,731.0,229.633,lns,"(1, 2.5, 10)",0.2
15,9,0,0,0,1396.539,538.0,226.95,lns,"(1, 2.5, 10)",0.2
15,9,0,0,1,2375.982,855.0,226.478,lns,"(1, 2.5, 10)",0.2
15,0,0,0,0,1333.615,10000.0,15.395,dotsp,"(1, 2.5, 10)",0.6
15,0,0,0,1,2241.447,10000.0,14.833,dotsp,"(1, 2.5, 10)",0.6
15,1,0,0,0,1287.957,10000.0,13.048,dotsp,"(1, 2.5, 10)",0.6
15,1,0,0,1,2202.348,10000.0,12.194,dotsp,"(1, 2.5, 10)",0.6
15,10,0,0,0,1303.998,10000.0,10.839,dotsp,"(1, 2.5, 10)",0.6
15,10,0,0,1,2280.055,10000.0,10.719,dotsp,"(1, 2.5, 10)",0.6
15,11,0,0,0,1319.054,10000.0,9.721,dotsp,"(1, 2.5, 10)",0.6
15,11,0,0,1,2296.056,10000.0,9.354,dotsp,"(1, 2.5, 10)",0.6
15,12,0,0,0,1307.404,10000.0,13.63,dotsp,"(1, 2.5, 10)",0.6
15,12,0,0,1,2174.284,10000.0,13.648,dotsp,"(1, 2.5, 10)",0.6
15,13,0,0,0,1344.858,10000.0,9.349,dotsp,"(1, 2.5, 10)",0.6
15,13,0,0,1,2298.865,10000.0,8.894,dotsp,"(1, 2.5, 10)",0.6
15,14,0,0,0,1378.295,10000.0,13.015,dotsp,"(1, 2.5, 10)",0.6
15,14,0,0,1,2431.137,10000.0,12.56,dotsp,"(1, 2.5, 10)",0.6
15,15,0,0,0,1356.391,10000.0,17.136,dotsp,"(1, 2.5, 10)",0.6
15,15,0,0,1,2308.751,10000.0,16.809,dotsp,"(1, 2.5, 10)",0.6
15,16,0,0,0,1319.708,10000.0,8.672,dotsp,"(1, 2.5, 10)",0.6
15,16,0,0,1,2246.632,10000.0,8.795,dotsp,"(1, 2.5, 10)",0.6
15,17,0,0,0,1202.069,10000.0,17.327,dotsp,"(1, 2.5, 10)",0.6
15,17,0,0,1,2058.492,10000.0,15.925,dotsp,"(1, 2.5, 10)",0.6
15,18,0,0,0,1422.03,10000.0,11.11,dotsp,"(1, 2.5, 10)",0.6
15,18,0,0,1,2487.394,10000.0,10.761,dotsp,"(1, 2.5, 10)",0.6
15,19,0,0,0,1427.084,10000.0,11.142,dotsp,"(1, 2.5, 10)",0.6
15,19,0,0,1,2402.156,10000.0,10.419,dotsp,"(1, 2.5, 10)",0.6
15,2,0,0,0,1194.397,10000.0,12.319,dotsp,"(1, 2.5, 10)",0.6
15,2,0,0,1,2080.129,10000.0,11.343,dotsp,"(1, 2.5, 10)",0.6
15,3,0,0,0,1179.919,10000.0,12.932,dotsp,"(1, 2.5, 10)",0.6
15,3,0,0,1,2016.32,10000.0,12.209,dotsp,"(1, 2.5, 10)",0.6
15,4,0,0,0,1538.569,10000.0,11.136,dotsp,"(1, 2.5, 10)",0.6
15,4,0,0,1,2674.513,10000.0,10.658,dotsp,"(1, 2.5, 10)",0.6
15,5,0,0,0,1325.18,10000.0,19.633,dotsp,"(1, 2.5, 10)",0.6
15,5,0,0,1,2248.314,10000.0,16.549,dotsp,"(1, 2.5, 10)",0.6
15,6,0,0,0,1353.258,10000.0,12.693,dotsp,"(1, 2.5, 10)",0.6
15,6,0,0,1,2333.45,10000.0,11.523,dotsp,"(1, 2.5, 10)",0.6
15,7,0,0,0,1426.532,10000.0,14.896,dotsp,"(1, 2.5, 10)",0.6
15,7,0,0,1,2463.735,10000.0,14.825,dotsp,"(1, 2.5, 10)",0.6
15,8,0,0,0,1203.619,10000.0,12.837,dotsp,"(1, 2.5, 10)",0.6
15,8,0,0,1,2030.274,10000.0,11.953,dotsp,"(1, 2.5, 10)",0.6
15,9,0,0,0,1482.258,10000.0,14.159,dotsp,"(1, 2.5, 10)",0.6
15,9,0,0,1,2570.479,10000.0,12.185,dotsp,"(1, 2.5, 10)",0.6
15,0,0,0,0,1259.337,10000.0,12.753,dotsp,"(1, 2.5, 10)",0.2
15,0,0,0,1,2287.409,10000.0,13.872,dotsp,"(1, 2.5, 10)",0.2
15,1,0,0,0,1228.879,10000.0,15.712,dotsp,"(1, 2.5, 10)",0.2
15,1,0,0,1,2292.808,10000.0,16.786,dotsp,"(1, 2.5, 10)",0.2
15,10,0,0,0,1216.104,10000.0,14.923,dotsp,"(1, 2.5, 10)",0.2
15,10,0,0,1,2232.26,10000.0,14.18,dotsp,"(1, 2.5, 10)",0.2
15,11,0,0,0,1223.381,10000.0,9.955,dotsp,"(1, 2.5, 10)",0.2
15,11,0,0,1,2240.993,10000.0,10.574,dotsp,"(1, 2.5, 10)",0.2
15,12,0,0,0,1185.466,10000.0,18.389,dotsp,"(1, 2.5, 10)",0.2
15,12,0,0,1,2148.95,10000.0,17.954,dotsp,"(1, 2.5, 10)",0.2
15,13,0,0,0,1219.378,10000.0,10.802,dotsp,"(1, 2.5, 10)",0.2
15,13,0,0,1,2222.57,10000.0,10.911,dotsp,"(1, 2.5, 10)",0.2
15,14,0,0,0,1267.382,10000.0,12.002,dotsp,"(1, 2.5, 10)",0.2
15,14,0,0,1,2355.039,10000.0,12.469,dotsp,"(1, 2.5, 10)",0.2
15,15,0,0,0,1242.435,10000.0,20.225,dotsp,"(1, 2.5, 10)",0.2
15,15,0,0,1,2240.174,10000.0,18.318,dotsp,"(1, 2.5, 10)",0.2
15,16,0,0,0,1213.953,10000.0,13.708,dotsp,"(1, 2.5, 10)",0.2
15,16,0,0,1,2220.986,10000.0,12.991,dotsp,"(1, 2.5, 10)",0.2
15,17,0,0,0,1114.416,10000.0,18.805,dotsp,"(1, 2.5, 10)",0.2
15,17,0,0,1,1958.747,10000.0,18.603,dotsp,"(1, 2.5, 10)",0.2
15,18,0,0,0,1339.606,10000.0,12.013,dotsp,"(1, 2.5, 10)",0.2
15,18,0,0,1,2421.908,10000.0,12.407,dotsp,"(1, 2.5, 10)",0.2
15,19,0,0,0,1307.06,10000.0,12.463,dotsp,"(1, 2.5, 10)",0.2
15,19,0,0,1,2339.453,10000.0,12.382,dotsp,"(1, 2.5, 10)",0.2
15,2,0,0,0,1112.763,10000.0,13.362,dotsp,"(1, 2.5, 10)",0.2
15,2,0,0,1,2020.329,10000.0,13.802,dotsp,"(1, 2.5, 10)",0.2
15,3,0,0,0,1098.331,10000.0,14.629,dotsp,"(1, 2.5, 10)",0.2
15,3,0,0,1,1995.593,10000.0,14.523,dotsp,"(1, 2.5, 10)",0.2
15,4,0,0,0,1448.137,10000.0,11.835,dotsp,"(1, 2.5, 10)",0.2
15,4,0,0,1,2695.33,10000.0,12.143,dotsp,"(1, 2.5, 10)",0.2
